Firm,Region,Propery and construction,Social housing,Child law,Court of protection,Education,Debt recovery,Planning and environmenty,Licensing,Pensions,Litigation/dispute resolution,Intellectual property, Employment,Healthcare,PrimaryCare
Cleveland Scott York LLP,GL,,,,,,,,,,,x,,,
Clyde & Co LLP,GL,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,GL,x,,,,,,x,,,,,,,
Dolmans Solicitors,GL,,,,,,,,,,,,,,
EMW Law LLP,GL,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),GL,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,GL,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,GL,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,GL,,,,,,,,,,,,,,
Hempsons,GL,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,GL,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,GL,,,,,,,,,,x,,,,
Hugh James,GL,x,x,,,,x,x,x,x,x,x,x,,
Judge and Priestley LLP,GL,,,,,,x,,,,,,,,
Kennedys Law LLP,GL,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,GL,,,,,,,,,,x,,,,
Kingsley Napley LLP,GL,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,GL,x,x,,,,,x,,,x,x,x,,
Michelmores LLP,GL,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,GL,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,GL,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,GL,,,,,,,,,,,,,,
Muckle LLP,GL,x,x,,,x,x,,,,x,x,x,,
Plexus Law,GL,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,GL,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,GL,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,GL,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,GL,,,,,,x,,,,x,,x,,
Trowers & Hamlins LLP,GL,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,GL,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,GL,x,x,,,,x,,,,x,,,,
Acuity Legal Limited,SEE,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,SEE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,SEE,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,SEE,x,,,,,,x,,,x,x,x,,
Birketts LLP,SEE,x,x,,,x,x,x,x,,x,x,x,,
Blake Morgan LLP,SEE,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,SEE,,,,,,,,,,,,,,
Browne Jacobson LLP,SEE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,SEE,,,,,,,,,,,,,,
Capsticks Solicitors LLP,SEE,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,SEE,,,,,,,,,,,,x,,
Cleveland Scott York LLP,SEE,,,,,,,,,,,x,,,
Clyde & Co LLP,SEE,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,SEE,x,,,,,,x,,,,,,,
Dolmans Solicitors,SEE,,,,,,,,,,,,,,
EMW Law LLP,SEE,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),SEE,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,SEE,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,SEE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,SEE,x,,x,x,x,,x,,,x,,x,x,
Hempsons,SEE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,SEE,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,SEE,,,,,,,,,,x,,,,
Hugh James,SEE,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,SEE,,,,,,x,,,,,,,,
Kennedys Law LLP,SEE,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,SEE,,,,,,,,,,x,,,,
Kingsley Napley LLP,SEE,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,SEE,,,,,,,,,,,,,,
Michelmores LLP,SEE,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,SEE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,SEE,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,SEE,,,,,,,,,,,,,,
Muckle LLP,SEE,x,x,,,x,x,,,,x,x,x,,
Plexus Law,SEE,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,SEE,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,SEE,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,SEE,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,SEE,,,,,,x,,,,x,,x,,
Trowers & Hamlins LLP,SEE,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,SEE,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,SEE,x,x,,,,x,,,,x,,,,
Acuity Legal Limited,SWE,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,SWE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,SWE,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,SWE,x,,,,,,x,,,x,x,x,,
Birketts LLP,SWE,,,,,,,,,,,,,,
Blake Morgan LLP,SWE,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,SWE,x,,,,,,,,,x,x,x,,
Browne Jacobson LLP,SWE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,SWE,,,,,,,,,,,,,,
Capsticks Solicitors LLP,SWE,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,SWE,,,,,,,,,,,,x,,
Cleveland Scott York LLP,SWE,,,,,,,,,,,x,,,
Clyde & Co LLP,SWE,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,SWE,x,,,,,,x,,,,,,,
Dolmans Solicitors,SWE,,,,,,x,,,,x,,,,
EMW Law LLP,SWE,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),SWE,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,SWE,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,SWE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,SWE,x,,x,x,x,,x,,,x,,x,x,
Hempsons,SWE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Hill Dickinson LLP,SWE,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,SWE,,,,,,,,,,x,,,,
Hugh James,SWE,x,x,x,x,,x,x,x,x,x,x,x,,
Judge and Priestley LLP,SWE,,,,,,x,,,,,,,,
Kennedys Law LLP,SWE,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,SWE,,,,,,,,,,x,,,,
Kingsley Napley LLP,SWE,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,SWE,,,,,,,,,,,,,,
Michelmores LLP,SWE,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,SWE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,SWE,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,SWE,,,,,,,,,,,,,,
Muckle LLP,SWE,x,x,,,x,x,,,,x,x,x,,
Plexus Law,SWE,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,SWE,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,SWE,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,SWE,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,SWE,,,,,,x,,,,x,,,,
Trowers & Hamlins LLP,SWE,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,SWE,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,SWE,,,,,,,,,,,,,,
Acuity Legal Limited,WA,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,WA,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,WA,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,WA,x,,,,,,x,,,x,x,x,,
Birketts LLP,WA,,,,,,,,,,,,,,
Blake Morgan LLP,WA,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,WA,,,,,,,,,,,,,,
Browne Jacobson LLP,WA,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,WA,x,,,,x,x,,x,x,x,x,x,,
Capsticks Solicitors LLP,WA,,,,,,,,,,,,,,
Cater Leydon Millard Limited,WA,,,,,,,,,,,,x,,
Cleveland Scott York LLP,WA,,,,,,,,,,,x,,,
Clyde & Co LLP,WA,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,WA,x,,,,,,x,,,,,,,
Dolmans Solicitors,WA,,,,,,x,,,,x,,,,
EMW Law LLP,WA,x,x,,,,,,,,,,,,
Eversheds Sutherland (International),WA,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,WA,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,WA,,,,,,,,,,,,,,
Hampshire Legal Services,WA,,,,,,,,,,,,,,
Hempsons,WA,,,,,,,,,,,,,,
Hill Dickinson LLP,WA,x,,,x,x,x,x,x,x,x,x,x,x,x
Horwich Farrelly Solicitors,WA,,,,,,,,,,x,,,,
Hugh James,WA,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Judge and Priestley LLP,WA,,,,,,x,,,,,,,,
Kennedys Law LLP,WA,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,WA,,,,,,,,,,x,,,,
Kingsley Napley LLP,WA,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,WA,,,,,,,,,,,,,,
Michelmores LLP,WA,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,WA,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,WA,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,WA,,,,,,,,,,,,,,
Muckle LLP,WA,x,x,,,x,x,,,,x,x,x,,
Plexus Law,WA,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,WA,x,,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,WA,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,WA,,,,,,,,,,,,,,
The Spring Advisory Group Limited t/a Spring Law,WA,,,,,,,,,,,,,,
Trowers & Hamlins LLP,WA,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,WA,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,WA,,,,,,,,,,,,,,
Acuity Legal Limited,SC,,,,,,,,,,,,,,
Anthony Collins Solicitors LLP,SC,,,,,,,,,,,,,,
Berrymans Lace Mawer LLP,SC,,,,,,,,,,x,,,,
Bircham Dyson Bell LLP,SC,,,,,,,,,,,,,,
Birketts LLP,SC,,,,,,,,,,,,,,
Blake Morgan LLP,SC,,,,,,,,,,,,,,
BPE Solicitors LLP,SC,,,,,,,,,,,,,,
Browne Jacobson LLP,SC,,,,,,,,,,,,,,
Capital Law Limited,SC,,,,,,,,,,,,,,
Capsticks Solicitors LLP,SC,,,,,,,,,,,,,,
Cater Leydon Millard Limited,SC,,,,,,,,,,,,x,,
Cleveland Scott York LLP,SC,,,,,,,,,,,x,,,
Clyde & Co LLP,SC,,,,x,x,x,,,,x,,x,x,x
Davitt Jones Bould Ltd,SC,,,,,,,,,,,,,,
Dolmans Solicitors,SC,,,,,,,,,,,,,,
EMW Law LLP,SC,x,x,,,,,,,,,,,,
Eversheds Sutherland (International),SC,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,SC,,,,,,,,,,,,x,,
Freeths LLP,SC,,,,,,,,,,,,,,
Hampshire Legal Services,SC,,,,,,,,,,,,,,
Hempsons,SC,,,,,,,,,,,,,,
Hill Dickinson LLP,SC,,,,,,,,,,,,,,
Horwich Farrelly Solicitors,SC,,,,,,,,,,,,,,
Hugh James,SC,,,,,,,,,,,,,,
Judge and Priestley LLP,SC,,,,,,,,,,,,,,
Kennedys Law LLP,SC,,,,,,,,,,,,,,
Keoghs LLP,SC,,,,,,,,,,x,,,,
Kingsley Napley LLP,SC,,,,,,,,,,,,,,
Lewis Silkin LLP,SC,,,,,,,,,,,,,,
Michelmores LLP,SC,,,,,,,,,,,,,,
Mills & Reeve LLP,SC,,,,,,,,,,,,,,
Moon Beever Solicitors,SC,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,SC,x,x,x,,x,x,x,x,,x,,x,,
Muckle LLP,SC,,,,,,,,,,,,,,
Plexus Law,SC,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,SC,,,,,,,,,,,,,,
Stephenson Harwood LLP,SC,,,,,,,,,,,,,,
Stephensons Solicitors LLP,SC,,,,,,,,,,,,,,
The Spring Advisory Group Limited t/a Spring Law,SC,,,,,,,,,,,,,,
Trowers & Hamlins LLP,SC,,,,,,,,,,,,,,
Veale Wasbrough Vizards LLP,SC,,,,,,,,,,,,,,
WH LAWRENCE LIMITED,SC,,,,,,,,,,,,,,
Acuity Legal Limited,NI,,,,,,,,,,,,,,
Anthony Collins Solicitors LLP,NI,,,,,,,,,,,,,,
Berrymans Lace Mawer LLP,NI,,,,,,,,,,x,,,,
Bircham Dyson Bell LLP,NI,,,,,,,,,,,,,,
Birketts LLP,NI,,,,,,,,,,,,,,
Blake Morgan LLP,NI,,,,,,,,,,,,,,
BPE Solicitors LLP,NI,,,,,,,,,,,,,,
Browne Jacobson LLP,NI,,,,,,,,,,,,,,
Capital Law Limited,NI,,,,,,,,,,,,,,
Capsticks Solicitors LLP,NI,,,,,,,,,,,,,,
Cater Leydon Millard Limited,NI,,,,,,,,,,,,x,,
Cleveland Scott York LLP,NI,,,,,,,,,,,x,,,
Clyde & Co LLP,NI,,,,,,,,,,,,,,
Davitt Jones Bould Ltd,NI,,,,,,,,,,,,,,
Dolmans Solicitors,NI,,,,,,,,,,,,,,
EMW Law LLP,NI,,,,,,,,,,,,,,
Eversheds Sutherland (International),NI,,,,,,,,,,,,,,
Forbes Solicitors,NI,,,,,,,,,,,,,,
Freeths LLP,NI,,,,,,,,,,,,,,
Hampshire Legal Services,NI,,,,,,,,,,,,,,
Hempsons,NI,,,,,,,,,,,,,,
Hill Dickinson LLP,NI,,,,,,,,,,,,,,
Horwich Farrelly Solicitors,NI,,,,,,,,,,x,,,,
Hugh James,NI,,,,,,,,,,,,,,
Judge and Priestley LLP,NI,,,,,,,,,,,,,,
Kennedys Law LLP,NI,,,,,,,,,,,,,,
Keoghs LLP,NI,,,,,,,,,,,,,,
Kingsley Napley LLP,NI,,,,,,,,,,,,,,
Lewis Silkin LLP,NI,,,,,,,,,,,,,,
Michelmores LLP,NI,,,,,,,,,,,,,,
Mills & Reeve LLP,NI,,,,,,,,,,,,,,
Moon Beever Solicitors,NI,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,NI,,,,,,,,,,,,,,
Muckle LLP,NI,,,,,,,,,,,,,,
Plexus Law,NI,,,,,,,,,,,,,,
Shakespeare Martineau LLP,NI,,,,,,,,,,,,,,
Stephenson Harwood LLP,NI,,,,,,,,,,,,,,
Stephensons Solicitors LLP,NI,,,,,,,,,,,,,,
The Spring Advisory Group Limited t/a Spring Law,NI,,,,,,,,,,,,,,
Trowers & Hamlins LLP,NI,,,,,,,,,,,,,,
Veale Wasbrough Vizards LLP,NI,,,,,,,,,,,,,,
WH LAWRENCE LIMITED,NI,,,,,,,,,,,,,,
Acuity Legal Limited,ALL,,,,,,,,,,,,,,
Anthony Collins Solicitors LLP,ALL,,,,,,,,,,,,,,
Berrymans Lace Mawer LLP,ALL,,,,,,,,,,x,,,,
Bircham Dyson Bell LLP,ALL,,,,,,,,,,,,,,
Birketts LLP,ALL,,,,,,,,,,,,,,
Blake Morgan LLP,ALL,,,,,,,,,,,,,,
BPE Solicitors LLP,ALL,,,,,,,,,,,,,,
Browne Jacobson LLP,ALL,,,,,,,,,,,,,,
Capital Law Limited,ALL,,,,,,,,,,,,,,
Capsticks Solicitors LLP,ALL,,,,,,,,,,,,,,
Cater Leydon Millard Limited,ALL,,,,,,,,,,,,x,,
Cleveland Scott York LLP,ALL,,,,,,,,,,,x,,,
Clyde & Co LLP,ALL,,,,,,,,,,,,,,
Davitt Jones Bould Ltd,ALL,,,,,,,,,,,,,,
Dolmans Solicitors,ALL,,,,,,,,,,,,,,
EMW Law LLP,ALL,,,,,,,,,,,,,,
Eversheds Sutherland (International),ALL,,,,,,,,,,,,,,
Forbes Solicitors,ALL,,,,,,,,,,,,,,
Freeths LLP,ALL,,,,,,,,,,,,,,
Hampshire Legal Services,ALL,,,,,,,,,,,,,,
Hempsons,ALL,,,,,,,,,,,,,,
Hill Dickinson LLP,ALL,,,,,,,,,,,,,,
Horwich Farrelly Solicitors,ALL,,,,,,,,,,,,,,
Hugh James,ALL,,,,,,,,,,,,,,
Judge and Priestley LLP,ALL,,,,,,,,,,,,,,
Kennedys Law LLP,ALL,,,,,,,,,,,,,,
Keoghs LLP,ALL,,,,,,,,,,,,,,
Kingsley Napley LLP,ALL,,,,,,,,,,,,,,
Lewis Silkin LLP,ALL,,,,,,,,,,,,,,
Michelmores LLP,ALL,,,,,,,,,,,,,,
Mills & Reeve LLP,ALL,,,,,,,,,,,,,,
Moon Beever Solicitors,ALL,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,ALL,,,,,,,,,,,,,,
Muckle LLP,ALL,,,,,,,,,,,,,,
Plexus Law,ALL,,,,,,,,,,,,,,
Shakespeare Martineau LLP,ALL,,,,,,,,,,,,,,
Stephenson Harwood LLP,ALL,,,,,,,,,,,,,,
Stephensons Solicitors LLP,ALL,,,,,,,,,,,,,,
The Spring Advisory Group Limited t/a Spring Law,ALL,,,,,,,,,,,,,,
Trowers & Hamlins LLP,ALL,,,,,,,,,,,,,,
Veale Wasbrough Vizards LLP,ALL,,,,,,,,,,,,,,
WH LAWRENCE LIMITED,ALL,,,,,,,,,,,,,,