uprn,udprn,change_type,state,state_date,class,parent_uprn,x_coordinate,y_coordinate,latitude,longitude,rpc,local_custodian_code,country,la_start_date,last_update_date,entry_date,rm_organisation_name,la_organisation,department_name,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,alt_language_sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,alt_language_pao_text,usrn,usrn_match_indicator,area_name,level,official_flag,os_address_toid,os_address_toid_version,os_roadlink_toid,os_roadlink_toid_version,os_topo_toid,os_topo_toid_version,voa_ct_record,voa_ndr_record,street_description,alt_language_street_description,dependent_thoroughfare,thoroughfare,welsh_dependent_thoroughfare,welsh_thoroughfare,double_dependent_locality,dependent_locality,locality,welsh_dependent_locality,welsh_double_dependent_locality,town_name,administrative_area,post_town,welsh_post_town,postcode,postcode_locator,postcode_type,delivery_point_suffix,addressbase_postal,po_box_number,ward_code,parish_code,rm_start_date,multi_occ_count,voa_ndr_p_desc_code,voa_ndr_scat_code,alt_language
10024854275,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TARGET ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 8QT,,,,,,,,,,,
10024854277,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERTON ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2AF,,,,,,,,,,,
10024854279,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BELHAM APARTMENTS,,,,,,,,,,,,,,,MONTAGUE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 0NE,,,,,,,,,,,
10024854281,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EDGEWARE ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 8PS,,,,,,,,,,,
10024854283,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAVERLEY ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2PH,,,,,,,,,,,
10024854285,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,OJS INDUSTRIAL PARK,,,,,,,,,,,,,,,CLAYBANK ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 5SX,,,,,,,,,,,
10024854287,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWYFORD AVENUE,,,,,,,,,,,PORTSMOUTH,,,,,PO2 8HU,,,,,,,,,,,
10024854289,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MILTON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6AN,,,,,,,,,,,
10024854291,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HALE COURT,,,,,,,,,,,,,,,FRATTON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 5JU,,,,,,,,,,,
10024854293,,,,,CR08,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WINTER ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 8DR,,,,,,,,,,,
10024854295,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARLESTON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO6 3RS,,,,,,,,,,,
10024854297,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTOVER ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6NR,,,,,,,,,,,
10024854299,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,GROSVENOR HOUSE,,,,,,,,,,,,,,,GROSVENOR STREET,,,,,,,,,,,SOUTHSEA,,,,,PO5 4JQ,,,,,,,,,,,
10024854301,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,RICHMOND HOUSE,,,,,,,,,,,,,,,BONFIRE CORNER,,,,,,,,,,,PORTSMOUTH,,,,,PO1 3FN,,,,,,,,,,,
10024854303,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODVILLE DRIVE,,,,,,,,,,,PORTSMOUTH,,,,,PO1 2TQ,,,,,,,,,,,
10024854305,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,CHESTNUT AVENUE,,,,,,,,,,,SOUTHSEA,,,,,PO4 8AA,,,,,,,,,,,
10024854307,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,SEA BREEZE GARDENS,,,,,,,,,,,,,,,HENDERSON ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 9GB,,,,,,,,,,,
10024854309,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUBILEE AVENUE,,,,,,,,,,,PORTSMOUTH,,,,,PO6 4QN,,,,,,,,,,,
10024854311,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAWCETT ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 0DW,,,,,,,,,,,
10024854313,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,HATHERLEY ROAD FOOTPATH LEADING TO REAR OF 9-11,,,,,,,,,,,PORTSMOUTH,,,,,PO6 4DT,,,,,,,,,,,
10024854315,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LANGSTONE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6BX,,,,,,,,,,,
10024854317,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAWSON ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 1SD,,,,,,,,,,,
10024854319,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST MARYS ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 5PH,,,,,,,,,,,
10024854321,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHOREHAVEN,,,,,,,,,,,PORTSMOUTH,,,,,PO6 4RU,,,,,,,,,,,
10024854323,,,,,RC01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HARDSTANDING BY PARKING SPACES 1 TO 28,,,,,,,,,,,,,,,LORDS STREET,,,,,,,,,,,PORTSMOUTH,,,,,PO1 1QS,,,,,,,,,,,
10024854325,,,,,RH02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERTON ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2AQ,,,,,,,,,,,
10024854327,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BRANDON COURT,,,,,,,,,,,,,,,LAWRENCE ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 1PF,,,,,,,,,,,
10024854329,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,JACKSON COURT,,,,,,,,,,,,,,,KIRBY ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 9DY,,,,,,,,,,,
10024854331,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,MAYVILLE APARTMENTS,,,,,,,,,,,,,,,WAVERLEY ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2TJ,,,,,,,,,,,
10024854333,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 4HA,,,,,,,,,,,
10024854335,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,KINGS APARTMENTS,,,,,,,,,,,,,,,HANWAY ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 7DW,,,,,,,,,,,
10024854337,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,WALBERANT BUILDINGS,,,,,,,,,,,,,,,COPNOR ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 5LB,,,,,,,,,,,
10024854339,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,PARLOUR WAY,,,,,,,,,,,PORTSMOUTH,,,,,PO6 1PU,,,,,,,,,,,
10024854341,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,TERENCE GARDENS,,,,,,,,,,,,,,,ST RONANS ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 0PH,,,,,,,,,,,
10024854343,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,LYNDHURST ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 0AJ,,,,,,,,,,,
10024854345,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAVENDISH ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2DG,,,,,,,,,,,
10024854347,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MERRIVALE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 0TH,,,,,,,,,,,
10024854349,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONDON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 9JE,,,,,,,,,,,
10024854351,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,NCR236,,,,,,,,,,,PORTSMOUTH,,,,,PO6 3PQ,,,,,,,,,,,
10024854353,,,,,RD,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BROOMER FARM,,,,,,,,,,,,,,,LOCK LANE,,,,,,,,,,,BIRDHAM,,,,,PO20 7AX,,,,,,,,,,,
10024854355,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 4HA,,,,,,,,,,,
10024854357,,,,,RI03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,UNITE CHAUCER,,,,,,,,,,,,,,,ISAMBARD BRUNEL ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 2GN,,,,,,,,,,,
10024854359,,,,,RG02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,REAR OF,,,,,,,,,,,,,,,PADDOCK WALK,,,,,,,,,,,PORTSMOUTH,,,,,PO6 4RX,,,,,,,,,,,
10024854361,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANELAGH ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 8EZ,,,,,,,,,,,
10024854363,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHBROOK CLOSE,,,,,,,,,,,PORTSMOUTH,,,,,PO1 4LR,,,,,,,,,,,
10024854365,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAULSGROVE ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 7HR,,,,,,,,,,,
10024854367,,,,,RG02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,GARAGE 12,,,,,,,,,,,,,,,SOUTHSEA TERRACE,,,,,,,,,,,SOUTHSEA,,,,,PO5 3AU,,,,,,,,,,,
10024854369,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,PICTON HOUSE,,,,,,,,,,,,,,,ST JAMES'S ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 4JD,,,,,,,,,,,
10024854371,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,WILMCOTE HOUSE,,,,,,,,,,,,,,,TYSELEY ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 4NB,,,,,,,,,,,
10024854373,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SHELFORD ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 8NT,,,,,,,,,,,
10024854375,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATION ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO6 1PY,,,,,,,,,,,
10024854377,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUDOR CRESCENT,,,,,,,,,,,PORTSMOUTH,,,,,PO6 2SR,,,,,,,,,,,
10024854379,,,,,CL08,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,FARLINGTON MARSHES,,,,,,,,,,,,,,,EASTERN ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 5LY,,,,,,,,,,,
10024854381,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STAMPSEY COURT,,,,,,,,,,,,,,,WILSON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 8TP,,,,,,,,,,,
10024854383,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST DAVIDS ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 1QN,,,,,,,,,,,
10024854385,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,TRAFALGAR HALL,,,,,,,,,,,,,,,MIDDLE STREET,,,,,,,,,,,SOUTHSEA,,,,,PO5 4AY,,,,,,,,,,,
10024854387,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ROCK GARDEN APARTMENTS,,,,,,,,,,,,,,,CLARENCE ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2DN,,,,,,,,,,,
10024854389,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KINGSTON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 7DP,,,,,,,,,,,
10024854391,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIRPAL ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6FD,,,,,,,,,,,
10024854393,,,,,PP,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST RONANS ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 0PR,,,,,,,,,,,
10024854395,,,,,CR08,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,UNIT 100 AND UNIT 104,,,,,,,,,,,,,,,CASCADES,,,,,,,,,,,PORTSMOUTH,,,,,PO1 4RP,,,,,,,,,,,
10024854397,,,,,RI03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,REES HALL,,,,,,,,,,,,,,,SOUTHSEA TERRACE,,,,,,,,,,,SOUTHSEA,,,,,PO5 3AP,,,,,,,,,,,
10024854399,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HELLYER ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 9DH,,,,,,,,,,,
10024854401,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONDON ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 9HH,,,,,,,,,,,
10024854403,,,,,RI03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDDLE STREET,,,,,,,,,,,SOUTHSEA,,,,,PO5 4BG,,,,,,,,,,,
10024854405,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLIANCE WAY,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6GR,,,,,,,,,,,
10024854407,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ENTERPRISE HOUSE,,,,,,,,,,,,,,,ISAMBARD BRUNEL ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 2RW,,,,,,,,,,,
10024854409,,,,,CE03PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ST MARYS ROMAN CATHOLIC SCHOOL,,,,,,,,,,,,,,,GLAMIS STREET,,,,,,,,,,,BOGNOR REGIS,,,,,PO21 1DJ,,,,,,,,,,,
10024854411,,,,,CT02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BUS SHELTER 4802 0033,,,,,,,,,,,,,,,CHICHESTER ROAD,,,,,,,,,,,BERSTED,,,,,PO21 5DR,,,,,,,,,,,
10024854413,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLLINS CLOSE,,,,,,,,,,,EASTERGATE,,,,,PO20 3JT,,,,,,,,,,,
10024854415,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,THE CHAPEL,,,,,,,,,,,,,,,YAPTON ROAD,,,,,,,,,,,BARNHAM,,,,,PO22 0AW,,,,,,,,,,,
10024854417,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALDWICK ROAD,,,,,,,,,,,ALDWICK,,,,,PO21 3QG,,,,,,,,,,,
10024854419,,,,,CI03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,D S L SUPPLIES,,,,,,,,,,,,,,,ST MARGARETS LANE,,,,,,,,,,,FAREHAM,,,,,PO14 4BQ,,,,,,,,,,,
10024854421,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,CAROUSEL COURT,,,,,,,,,,,,,,,MERRION AVENUE,,,,,,,,,,,BOGNOR REGIS,,,,,PO22 9NB,,,,,,,,,,,
10024854423,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAVELOCK ROAD,,,,,,,,,,,BOGNOR REGIS,,,,,PO21 2HB,,,,,,,,,,,
10024854425,,,,,CR08,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONDON ROAD,,,,,,,,,,,BOGNOR REGIS,,,,,PO21 1DD,,,,,,,,,,,
10024854427,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,ASHLEY TERRACE,,,,,,,,,,,,,,,BEACONSFIELD ROAD,,,,,,,,,,,VENTNOR,,,,,PO38 1HT,,,,,,,,,,,
10024854429,,,,,CE04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HENRY CORT COMMUNITY COLLEGE,,,,,,,,,,,,,,,HENRY CORT DRIVE,,,,,,,,,,,FAREHAM,,,,,PO15 6PH,,,,,,,,,,,
10024854431,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,RANSOME CLOSE,,,,,,,,,,,FAREHAM,,,,,PO14 4JD,,,,,,,,,,,
10024854433,,,,,CU06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,CIVIC OFFICES,,,,,,,,,,,,,,,CIVIC WAY,,,,,,,,,,,FAREHAM,,,,,PO16 7DT,,,,,,,,,,,
10024854435,,,,,RD03,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CORNAWAY LANE,,,,,,,,,,,FAREHAM,,,,,PO16 9DD,,,,,,,,,,,
10024854437,,,,,CO01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,PORTLAND CHAMBERS,,,,,,,,,,,,,,,WEST STREET,,,,,,,,,,,FAREHAM,,,,,PO16 0JR,,,,,,,,,,,
10024854439,,,,,CT02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,BUS SHELTER 0188,,,,,,,,,,,,,,,THE AVENUE,,,,,,,,,,,FAREHAM,,,,,PO14 1PH,,,,,,,,,,,
10024854441,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BELL DAVIES ROAD,,,,,,,,,,,FAREHAM,,,,,PO14 2AY,,,,,,,,,,,
10024854443,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,CARISBROOKE COURT,,,,,,,,,,,,,,,NORTH SQUARE,,,,,,,,,,,KNOWLE,,,,,PO17 5FX,,,,,,,,,,,
10024854445,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONSORT MEWS,,,,,,,,,,,KNOWLE,,,,,PO17 5FY,,,,,,,,,,,
10024854447,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,WICOR PATH GREENWAYS,,,,,,,,,,,FAREHAM,,,,,PO16 9EN,,,,,,,,,,,
10024854449,,,,,RD02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUMMERLEIGH WALK,,,,,,,,,,,FAREHAM,,,,,PO14 2TG,,,,,,,,,,,
10024854451,,,,,MN,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HMS COLLINGWOOD,,,,,,,,,,,,,,,NEWGATE LANE,,,,,,,,,,,FAREHAM,,,,,PO14 1AS,,,,,,,,,,,
10024854453,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HIGHBANK,,,,,,,,,,,,,,,SHRIPNEY ROAD,,,,,,,,,,,BOGNOR REGIS,,,,,PO22 9PW,,,,,,,,,,,
10024854455,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,WHEATLANDS (LINK) FOOTPATH,,,,,,,,,,,SOUTHAMPTON,,,,,PO14 4SL,,,,,,,,,,,
10024854457,,,,,RG02,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALTHAM CLOSE,,,,,,,,,,,FAREHAM,,,,,PO16 8EG,,,,,,,,,,,
10024854459,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,WARSASH ROAD,,,,,,,,,,,FAREHAM,,,,,PO14 4RH,,,,,,,,,,,
10024854461,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THYME AVENUE,,,,,,,,,,,WHITELEY,,,,,PO15 7GJ,,,,,,,,,,,
10024854463,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,LENTHALL HOUSE,,,,,,,,,,,,,,,CHURCHILL GARDENS ESTATE,,,,,,,,,,,LONDON,,,,,SW1V 3BB,,,,,,,,,,,
10024854465,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECCLESTON SQUARE,,,,,,,,,,,LONDON,,,,,SW1V 1PP,,,,,,,,,,,
10024854467,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PALFREY PLACE,,,,,,,,,,,LONDON,,,,,SW8 1PE,,,,,,,,,,,
10024854469,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FERNDALE ROAD,,,,,,,,,,,LONDON,,,,,SW9 8AT,,,,,,,,,,,
10024854471,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,DOVET COURT,,,,,,,,,,,,,,,MURSELL ESTATE,,,,,,,,,,,LONDON,,,,,SW8 1HR,,,,,,,,,,,
10024854473,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,KELMAN CLOSE,,,,,,,,,,,LONDON,,,,,SW4 6JE,,,,,,,,,,,
10024854475,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TULSE HILL,,,,,,,,,,,LONDON,,,,,SW2 3BU,,,,,,,,,,,
10024854477,,,,,PS,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,STREET RECORD,,,,,,,,,,,,,,,PENSBURY STREET,,,,,,,,,,,LONDON,,,,,SW8 2XP,,,,,,,,,,,
